ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
ORCL,2021-03-10,amc,2021-03-10,2021-03-11,2021-02-25,2021-03-04,2021-03-10,2021-03-12,2021-03-18,2021-03-25,2021-02-25,2021-03-25,10,10
ORCL,2021-06-15,amc,2021-06-15,2021-06-16,2021-06-02,2021-06-09,2021-06-15,2021-06-17,2021-06-23,2021-06-30,2021-06-02,2021-06-30,10,10
ORCL,2021-09-13,amc,2021-09-13,2021-09-14,2021-08-30,2021-09-07,2021-09-13,2021-09-15,2021-09-21,2021-09-28,2021-08-30,2021-09-28,10,10
ORCL,2021-12-09,amc,2021-12-09,2021-12-10,2021-11-26,2021-12-03,2021-12-09,2021-12-13,2021-12-17,2021-12-27,2021-11-26,2021-12-27,10,10
ORCL,2022-03-10,amc,2022-03-10,2022-03-11,2022-02-25,2022-03-04,2022-03-10,2022-03-14,2022-03-18,2022-03-25,2022-02-25,2022-03-25,10,10
ORCL,2022-06-13,amc,2022-06-13,2022-06-14,2022-05-31,2022-06-07,2022-06-13,2022-06-15,2022-06-22,2022-06-29,2022-05-31,2022-06-29,10,10
ORCL,2022-09-12,amc,2022-09-12,2022-09-13,2022-08-29,2022-09-06,2022-09-12,2022-09-14,2022-09-20,2022-09-27,2022-08-29,2022-09-27,10,10
ORCL,2022-12-12,amc,2022-12-12,2022-12-13,2022-11-29,2022-12-06,2022-12-12,2022-12-14,2022-12-20,2022-12-28,2022-11-29,2022-12-28,10,10
ORCL,2023-03-09,amc,2023-03-09,2023-03-10,2023-02-24,2023-03-03,2023-03-09,2023-03-13,2023-03-17,2023-03-24,2023-02-24,2023-03-24,10,10
ORCL,2023-06-12,amc,2023-06-12,2023-06-13,2023-05-30,2023-06-06,2023-06-12,2023-06-14,2023-06-21,2023-06-28,2023-05-30,2023-06-28,10,10
ORCL,2023-09-11,amc,2023-09-11,2023-09-12,2023-08-28,2023-09-05,2023-09-11,2023-09-13,2023-09-19,2023-09-26,2023-08-28,2023-09-26,10,10
ORCL,2023-12-11,amc,2023-12-11,2023-12-12,2023-11-28,2023-12-05,2023-12-11,2023-12-13,2023-12-19,2023-12-27,2023-11-28,2023-12-27,10,10
ORCL,2024-03-11,amc,2024-03-11,2024-03-12,2024-02-27,2024-03-05,2024-03-11,2024-03-13,2024-03-19,2024-03-26,2024-02-27,2024-03-26,10,10
ORCL,2024-06-11,amc,2024-06-11,2024-06-12,2024-05-29,2024-06-05,2024-06-11,2024-06-13,2024-06-20,2024-06-27,2024-05-29,2024-06-27,10,10
ORCL,2024-09-09,amc,2024-09-09,2024-09-10,2024-08-26,2024-09-03,2024-09-09,2024-09-11,2024-09-17,2024-09-24,2024-08-26,2024-09-24,10,10
ORCL,2024-12-09,amc,2024-12-09,2024-12-10,2024-11-25,2024-12-03,2024-12-09,2024-12-11,2024-12-17,2024-12-24,2024-11-25,2024-12-24,10,10
ORCL,2025-03-10,amc,2025-03-10,2025-03-11,2025-02-25,2025-03-04,2025-03-10,2025-03-12,2025-03-18,2025-03-25,2025-02-25,2025-03-25,10,10
ORCL,2025-06-11,amc,2025-06-11,2025-06-12,2025-05-29,2025-06-05,2025-06-11,2025-06-13,2025-06-20,2025-06-27,2025-05-29,2025-06-27,10,10
ORCL,2025-09-09,amc,2025-09-09,2025-09-10,2025-08-26,2025-09-03,2025-09-09,2025-09-11,2025-09-17,2025-09-24,2025-08-26,2025-09-24,10,10
ORCL,2025-12-10,amc,2025-12-10,2025-12-11,2025-11-26,2025-12-04,2025-12-10,2025-12-12,2025-12-18,2025-12-26,2025-11-26,2025-12-26,10,10
