period_end,quarter_rank,actual_revenue,actual_ebitda,actual_ebit,actual_netIncome,actual_eps,est_revenue,est_ebitda,est_ebit,est_netIncome,est_eps,surprise_revenue,surprise_revenue_pct,surprise_ebitda,surprise_ebitda_pct,surprise_ebit,surprise_ebit_pct,surprise_netIncome,surprise_netIncome_pct,surprise_eps,surprise_eps_pct
2021-02-28,1,10085000000,4593000000,3861000000,5021000000,1.72,10071723754,4386108107,3703315315,4794828828,1.10987,13276246,0.13181701885665123,206891893,4.716981158531212,157684685,4.2579330029314555,226171172,4.716981150176734,0.6101300000000001,54.97310495823836
2021-05-31,2,11227000000,5605000000,4853000000,4033000000,1.42,11015145310,4620916030,3743725190,3324091602,1.30782,211854690,1.923303633658556,984083970,21.296296310322695,1109274810,29.63024136929239,708908398,21.32637974156526,0.11217999999999995,8.57763300760043
2021-08-31,3,9728000000,4143000000,3386000000,2457000000,0.89,9756598500,4045517646,3346364705,2399188235,0.97256,-28598500,-0.2931195744090525,97482354,2.4096385810202943,39635295,1.1844284318675302,57811765,2.4096385667713145,-0.08255999999999997,-8.488936415234019
2021-11-30,4,10360000000,-58000000,-817000000,-1247000000,-0.46,10204424498,-52774774,-749765765,-1134657657,1.11177,155575502,1.524588692194173,-5225226,-9.900991712442009,-67234235,-8.967365294412982,-112342343,-9.900990162709492,-1.57177,-141.37546434964065
2022-02-28,5,10513000000,4282000000,3507000000,2319000000,0.87,10505668224,4463440677,3983949152,2417262711,1.17835,7331776,0.06978876396696687,-181440677,-4.065040629641598,-476949152,-11.971768057344926,-98262711,-4.065040616100416,-0.30835,-26.16794670513854
2022-05-31,6,11840000000,5159000000,4328000000,3189000000,1.2,11609519992,4541683760,3963299145,2807410256,1.37098,230480008,1.9852673336952897,617316240,13.592233026810305,364700855,9.201951244586157,381589744,13.592233026308357,-0.17098000000000013,-12.471370844213638
2022-08-31,7,11445000000,3909000000,2443000000,1548000000,0.58,11330148798,4450069410,3681001175,2639107058,1.07483,114851202,1.0136777905359333,-541069410,-12.158673498083708,-1238001175,-33.63218635756072,-1091107058,-41.34379674717994,-0.49483,-46.03797809886215
2022-11-30,8,12275000000,4498000000,3000000000,1741000000,0.65,11959280734,-58052250,-824742341,-1248123422,1.17035,315719266,2.639951958836591,4556052250,7848.192361191857,3824742341,463.74996782176845,2989123422,239.48941020674158,-0.52035,-44.461058657666506
2023-02-28,9,12398000000,4684000000,3126000000,1896000000,0.7,12427876687,4909784745,4382344067,2658988982,1.20249,-29876687,-0.24040057487255306,-225784745,-4.598668917816274,-1256344067,-28.668311930606794,-762988982,-28.69470265446929,-0.5024900000000001,-41.787457691955865
2023-05-31,10,13836000000,5650000000,4064000000,3319000000,1.23,13737857899,4995852135,4359629059,3088151281,1.58093,98142101,0.7143915865307059,654147865,13.093819579189766,-295629059,-6.781059925034325,230848719,7.475304737183955,-0.35092999999999996,-22.19769376253218
2023-08-31,11,12453000000,4722000000,3247000000,2420000000,0.89,12475280860,4895076351,4049101293,2903017763,1.15036,-22280860,-0.17860006720522043,-173076351,-3.5357232163425354,-802101293,-19.80936595453059,-483017763,-16.638470806353105,-0.26036000000000004,-22.63291491359227
2023-11-30,12,12941000000,5161000000,3608000000,2503000000,0.91,12716737000,-63857475,-907216574,-1372935764,1.22,224263000,1.7635262882294414,5224857475,8182.060870712474,4515216574,497.69996530067806,3875935764,282.31005889944896,-0.30999999999999994,-25.409836065573764
2024-02-29,13,13280000000,5298000000,3741000000,2401000000,0.87,13286481142,5400763219,4820578474,2924887879,1.37684,-6481142,-0.04877997364939925,-102763219,-1.9027536448640594,-1079578474,-22.39520588291952,-523887879,-17.911383296480885,-0.5068400000000001,-36.81182998750763
2024-05-31,14,14287000000,6214000000,4660000000,3144000000,1.14,14562253539,5735234522,4304199377,4817384521,1.64866,-275253539,-1.8901850476839166,478765478,8.347792512468072,355800623,8.26636017144705,-1673384521,-34.73637019642842,-0.5086600000000001,-30.85293511093859
2024-08-31,15,13307000000,5439000000,4011000000,2929000000,1.06,13233301542,5211836728,3911397924,3891227401,1.3317,73698458,0.5569166376666852,227163272,4.358603000350935,99602076,2.5464572496919904,-962227401,-24.728120509038327,-0.27170000000000005,-20.40249305399114
2024-11-30,16,14059000000,5755000000,4256000000,3151000000,1.13,14117796631,5560188496,4172830208,4331134501,1.48225,-58796631,-0.4164717238587625,194811504,3.503685246285219,83169792,1.9931266755246801,-1180134501,-27.247699205081787,-0.3522500000000002,-23.764547141170528
2025-02-28,17,14130000000,5891000000,4340000000,2936000000,1.05,14375389675,5661639588,4248967588,4360325281,1.49224,-245389675,-1.7070123353021387,229360412,4.051130568009587,91032412,2.142459553165224,-1424325281,-32.66557399298761,-0.44223999999999997,-29.63598348791079
2025-05-31,18,15903000000,6826000000,5130000000,3427000000,1.22,15581749411,6136755337,4605534160,4799326561,1.64248,321250589,2.0617106624318566,689244663,11.231418317174471,524465840,11.38773097277385,-1372326561,-28.594148440569096,-0.42247999999999997,-25.72207880765671
2025-08-31,19,14926000000,4770000000,4350000000,2927000000,1.04,15039481792,5923187296,4445254850,4327803421,1.48111,-113481792,-0.7545591900670722,-1153187296,-19.46903311294514,-95254850,-2.142843396256572,-1400803421,-32.367538095718885,-0.4411099999999999,-29.78239293502845
2025-11-30,20,16058000000,9509000000,7399000000,6135000000,2.15,16192737220,6377388311,4786125257,4792226101,1.64005,-134737220,-0.8320842743843404,3131611689,49.1049240893558,2612874743,54.592694563906605,1342773899,28.019836099131503,0.5099499999999999,31.093564220603024
